barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins
1,1,Alipangpang,University of Eastern Pangasinan,7.31,7.8
1,2,Alipangpang,Urdaneta City University,16.68,15.6
1,3,Alipangpang,Pangasinan State University - Urdaneta City,14.32,13.0
1,4,Alipangpang,Pangasinan State University - Asingan,22.67,22.9
1,5,Alipangpang,DMMMSU – South La Union Campus (SLUC),37.29,44.3
1,6,Alipangpang,DMMMSU – Mid La Union Campus (MLUC),69.07,88.4
1,7,Alipangpang,Benguet State University - La Trinidad,70.82,97.9
1,8,Alipangpang,Central Luzon State University,86.87,81.2
1,9,Alipangpang,Tarlac State University - Tarlac,76.56,65.5
1,10,Alipangpang,Pangasinan State University - Lingayen,57.1,66.1
1,11,Alipangpang,Pangasinan State University - Bayambang,45.74,55.4
1,12,Alipangpang,Saint Louis University - Baguio,66.52,89.6
1,13,Alipangpang,University of the Philippines - Baguio,47.22,57.5
1,14,Alipangpang,University of Pangasinan - PHINMA,31.36,44.3
1,15,Alipangpang,University of the Philippines - Diliman,197.15,163.6
1,16,Alipangpang,University of the Philippines - Manila,198.77,167.2
1,17,Alipangpang,Univeristy of the Philippines - Open University,196.57,162.1
1,18,Alipangpang,Polytechnic University of the Philippines - Manila,197.66,163.5
1,19,Alipangpang,Lyceum-Northwestern University,45.19,47.6
1,20,Alipangpang,Pangasinan Polytechnic College,57.36,66.3
2,1,Amagbagan,University of Eastern Pangasinan,11.47,14.9
2,2,Amagbagan,Urdaneta City University,20.87,22.1
2,3,Amagbagan,Pangasinan State University - Urdaneta City,18.51,19.5
2,4,Amagbagan,Pangasinan State University - Asingan,26.86,29.4
2,5,Amagbagan,DMMMSU – South La Union Campus (SLUC),37.66,46.5
2,6,Amagbagan,DMMMSU – Mid La Union Campus (MLUC),69.45,90.7
2,7,Amagbagan,Benguet State University - La Trinidad,71.19,100.1
2,8,Amagbagan,Central Luzon State University,89.38,86.1
2,9,Amagbagan,Tarlac State University - Tarlac,79.06,70.3
2,10,Amagbagan,Pangasinan State University - Lingayen,39.22,63.4
2,11,Amagbagan,Pangasinan State University - Bayambang,49.93,61.9
2,12,Amagbagan,Saint Louis University - Baguio,66.89,91.9
2,13,Amagbagan,University of the Philippines - Baguio,47.59,59.7
2,14,Amagbagan,University of Pangasinan - PHINMA,22.27,37.2
2,15,Amagbagan,University of the Philippines - Diliman,199.65,168.4
2,16,Amagbagan,University of the Philippines - Manila,201.28,172.0
2,17,Amagbagan,Univeristy of the Philippines - Open University,199.08,166.9
2,18,Amagbagan,Polytechnic University of the Philippines - Manila,200.17,168.3
2,19,Amagbagan,Lyceum-Northwestern University,24.2,41.4
2,20,Amagbagan,Pangasinan Polytechnic College,39.49,63.6
3,1,Balacag,University of Eastern Pangasinan,17.56,24.7
3,2,Balacag,Urdaneta City University,26.96,30.9
3,3,Balacag,Pangasinan State University - Urdaneta City,24.6,28.3
3,4,Balacag,Pangasinan State University - Asingan,32.94,38.2
3,5,Balacag,DMMMSU – South La Union Campus (SLUC),34.92,47.4
3,6,Balacag,DMMMSU – Mid La Union Campus (MLUC),66.71,91.6
3,7,Balacag,Benguet State University - La Trinidad,68.69,102.2
3,8,Balacag,Central Luzon State University,95.66,93.6
3,9,Balacag,Tarlac State University - Tarlac,85.34,77.9
3,10,Balacag,Pangasinan State University - Lingayen,39.96,62.2
3,11,Balacag,Pangasinan State University - Bayambang,47.09,64.3
3,12,Balacag,Saint Louis University - Baguio,64.39,94.0
3,13,Balacag,University of the Philippines - Baguio,44.85,60.7
3,14,Balacag,University of Pangasinan - PHINMA,23.01,36.0
3,15,Balacag,University of the Philippines - Diliman,205.93,176.0
3,16,Balacag,University of the Philippines - Manila,207.56,179.6
3,17,Balacag,Univeristy of the Philippines - Open University,205.36,174.5
3,18,Balacag,Polytechnic University of the Philippines - Manila,206.45,175.9
3,19,Balacag,Lyceum-Northwestern University,24.93,40.2
3,20,Balacag,Pangasinan Polytechnic College,40.22,62.4
4,1,Banding,University of Eastern Pangasinan,8.26,9.2
4,2,Banding,Urdaneta City University,17.63,17.0
4,3,Banding,Pangasinan State University - Urdaneta City,15.27,14.4
4,4,Banding,Pangasinan State University - Asingan,23.62,24.3
4,5,Banding,DMMMSU – South La Union Campus (SLUC),37.45,44.7
4,6,Banding,DMMMSU – Mid La Union Campus (MLUC),69.23,88.9
4,7,Banding,Benguet State University - La Trinidad,70.98,98.3
4,8,Banding,Central Luzon State University,87.82,82.6
