barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins,distance_km_mid,economic_constraint,tuition_estimate,annual_transport_cost_php,total_annual_burden_php,affordability_at_tier_1,affordability_at_tier_2,affordability_at_tier_3,affordability_at_tier_4,affordability_at_tier_5
1,1,Alipangpang,University of Eastern Pangasinan,7.31,7.8,15.0,2,25000,6578.999999999999,31579.0,True,True,True,True,True
1,2,Alipangpang,Urdaneta City University,16.68,15.6,25.0,2,25000,15012.000000000002,40012.0,False,True,True,True,True
1,3,Alipangpang,Pangasinan State University - Urdaneta City,14.32,13.0,35.0,1,10000,12887.999999999998,22888.0,True,True,True,True,True
1,4,Alipangpang,Pangasinan State University - Asingan,22.67,22.9,40.0,1,10000,20403.0,30403.0,True,True,True,True,True
1,5,Alipangpang,DMMMSU – South La Union Campus (SLUC),37.29,44.3,75.0,1,10000,33561.0,43561.0,False,False,True,True,True
1,6,Alipangpang,DMMMSU – Mid La Union Campus (MLUC),69.07,88.4,55.0,1,10000,62162.99999999999,72163.0,False,False,False,False,True
1,7,Alipangpang,Benguet State University - La Trinidad,70.82,97.9,95.0,1,10000,63737.99999999999,73738.0,False,False,False,False,True
1,8,Alipangpang,Central Luzon State University,86.87,81.2,85.0,1,10000,78183.0,88183.0,False,False,False,False,True
1,9,Alipangpang,Tarlac State University - Tarlac,76.56,65.5,45.0,1,10000,68904.0,78904.0,False,False,False,False,True
1,10,Alipangpang,Pangasinan State University - Lingayen,57.1,66.1,55.0,1,10000,51390.0,61390.0,False,False,False,False,True
1,11,Alipangpang,Pangasinan State University - Bayambang,45.74,55.4,55.0,1,10000,41166.0,51166.0,False,False,False,True,True
1,12,Alipangpang,Saint Louis University - Baguio,66.52,89.6,55.0,3,60000,59867.99999999999,119868.0,False,False,False,False,False
1,13,Alipangpang,University of the Philippines - Baguio,47.22,57.5,55.0,1,10000,42498.0,52498.0,False,False,False,True,True
1,14,Alipangpang,University of Pangasinan - PHINMA,31.36,44.3,55.0,3,60000,28224.000000000004,88224.0,False,False,False,False,True
1,15,Alipangpang,University of the Philippines - Diliman,197.15,163.6,220.0,1,10000,177435.0,187435.0,False,False,False,False,False
1,16,Alipangpang,University of the Philippines - Manila,198.77,167.2,220.0,1,10000,178893.0,188893.0,False,False,False,False,False
1,17,Alipangpang,Univeristy of the Philippines - Open University,196.57,162.1,220.0,1,10000,176912.99999999997,186912.99999999997,False,False,False,False,False
1,18,Alipangpang,Polytechnic University of the Philippines - Manila,197.66,163.5,220.0,1,10000,177894.0,187894.0,False,False,False,False,False
