scholarship_id,scholarship_code,scholarship_name,benefactor_name,scholarship_type,minimum_grade,application_period,scholarship_or_subsidy,exam_required,eligibility_criteria,created_datetime,updated_datetime
28c0b6e5-5dba-463f-978b-4cf6682b5447,MESC001,Megaworld Scholarship Foundation,Megaworld Foundation Inc.,Private,85.00,February,scholarship,True,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
4946a01d-0cae-4998-be42-dda26fc28802,SMSE002,SM Foundation Scholarship,SM Foundation,Private,92.00,January,scholarship,True,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
372ca175-5d1e-4bea-8d74-e99deaf20bb1,CBSC003,Cebuana Lhuillier Scholarship,Cebuana Lhuillier,Private,85.00,October,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
33359c5b-e30d-49c6-96e1-ecfa3f5b8261,MDFS005,Mercury Drug Foundation Scholarship,Mercury Drug Foundation Inc.,Private,85.00,April,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
fb336018-c316-4a13-a995-bdfbea493e90,PSCS006,Panasonic College Scholarship,Panasonic Holdings Corporation,Private,85.00,April,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
5c4416da-958f-4a93-8cef-212d04fe9ee0,GBFS007,GBF STEM-College Scholarship,Gokongwei Brothers Foundation,Private,85.00,April,scholarship,True,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
3e7a22f2-7511-4e1c-a2ee-8d57a42c2675,MRSC008,Moirasia Foundation Scholarship,Moirasia Foundation Inc.,Private,90.00,August,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
9d3c639d-bfd9-4b0b-8163-4070e4601dbf,SISC0010,Security Bank Internal Scholarship Program,Security Bank Foundation Inc.,Private,83.00,May,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
41f2729f-d2bb-4f33-8901-7137b04d37ce,SESC009,Security Bank External Scholarship Program,Security Bank Foundation Inc.,Private,93.00,April,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
e005bbbe-65ae-469c-a8ed-c4d2403694e6,MFSC0057,Metrobank Foundation Scholarship,Metrobank Foundation Inc.,Private,90.00,No fix period,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
485690d0-6764-4efd-9b83-235e2a19fba4,AFSC004,Ayala Foundation U-go Scholarship Grant,Ayala Foundation Inc.,Private,85.00,April,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
be05a9a0-17e3-41e7-b5f3-4944af93bc49,PMSP0011,Pozorrubio Municipal Scholarship Program,Municipal Government of Pozorrubio,Local,80.00,May,scholarship,True,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
c1f22598-bd67-4807-ba3d-e63eeb8b5622,DSSC0012,DSWD Educational Assistance (via MSWD Pozorrubio),DSWD / Municipal Social Welfare and Development Office (MSWD),Local,0.00,No fix period,grant,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
74bbdcdd-eaee-4b03-be90-fad8a7f5b564,PPSP0015,Pangasinan Provincial Scholarship Program (PSP),Provincial Government of Pangasinan,Provincial,0.00,September,scholarship,True,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
df52c61c-5f0a-4d3a-a8d9-098b5358c6ab,LSCF0017,Lotte Scholarship Foundation - Pangasinan,Lotte Scholarship Foundation (South Korea) / Province of Pangasinan,Provincial,0.00,No fix period,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
c7cc6aec-98f8-4e83-b64c-c5f88fbdfdb4,CTDP0019,CHED Tulong Dunong Program (TDP) - Pangasinan,CHED Regional Office I,Provincial,80.00,June,grant,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
e0f9c213-7e3d-4bf9-aa8b-fb27aee52742,DSPES0023,DSWD Region I - Pangasinan Educational Assistance,DSWD Regional Field Office I / MSWD Pangasinan LGUs,Provincial,0.00,No fix period,grant,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
b3ebc362-5605-4a31-9caf-88f5c9ad3bdd,CMSP0024,CHED Merit Scholarship Program (CMSP) - Region I,CHED Regional Office I,Regional,93.00,April,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
f85535f5-9eb7-4d63-8240-8ff9974bd9cd,CHDP0026,CHED Tulong Dunong Program (TDP) - Region I,CHED Regional Office I,Regional,80.00,June,grant,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
e593a7b3-ff3e-4957-8982-daec79641072,CTES0027,CHED Tertiary Education Subsidy (TES) - Region I,CHED / UniFAST,Regional,0.00,No fix period,grant,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
ad71f697-5d99-4dc7-b156-136cd0454fe1,PSIS0037,PSU Internal Merit Scholarship,Pangasinan State University (PSU),Regional,0.00,August,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
6ad81dbf-79d5-4f2c-b6ec-4135b73c3817,DSEA0040,DSWD Region I Educational Assistance,DSWD Regional Field Office I,Regional,0.00,No fix period,grant,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
a6e8e9db-b645-4b3e-8f83-98d42e50eb8c,BPSP0025,Bagong Pilipinas Merit Scholarship Program (BPMSP),CHED / DepEd / TESDA,National,95.00,No fix period,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
2e39bf83-61b4-463e-b2ab-4a259e4f0cad,DTRA0047,DOST-SEI Scholarship,DOST-SEI,National,0.00,October,scholarship,True,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
b95d57fd-77fa-4b8e-8e67-e55f4884eaae,GSEP0048,GSIS Educational Loan,GSIS,National,0.00,No fix period,loan,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
75e59e5e-aa95-4fa1-a523-dc7cc7f1a09a,SSEA0079,SSS Educational Assistance / Loan,SSS,National,0.00,No fix period,loan,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
d1760e93-3ebb-46ae-875e-74e46238638a,EDSP0049,OWWA Education for Development Scholarship (EDSP),OWWA,National,0.00,January,scholarship,True,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
5428e99b-e719-42c2-bcc8-6567bc37d29b,NIPS0053,NCIP Indigenous Peoples Scholarship,NCIP (National Commission on Indigenous Peoples),National,0.00,March,scholarship,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
ba9010c3-eadd-4a9f-923c-306fcd816367,PWEA0054,PWD Educational Assistance,NCDA / DSWD / LGU,National,0.00,No fix period,grant,False,{},2026-05-12 13:55:18.549187+00:00,2026-05-12 13:55:18.549187+00:00
