scholarship_id,program_id,college_program,program_field,scholarship_code,created_datetime,updated_datetime,nearby_has_scholarship_yes_no,outside_has_scholarship_yes_no
28c0b6e5-5dba-463f-978b-4cf6682b5447,2fe2da79-5407-407a-af9f-aea8d23985db,Bachelor of Science in Accountancy Technology,Business & Accountancy,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
28c0b6e5-5dba-463f-978b-4cf6682b5447,86f3ca25-b347-4191-8a41-47a80fa7455e,Bachelor of Science in Accounting Information System,Business & Accountancy,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
28c0b6e5-5dba-463f-978b-4cf6682b5447,3e741a2f-7753-4313-a43a-7928cefa0c0e,Bachelor in Advertising and Public Relations,Arts & Humanities,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,False,True
28c0b6e5-5dba-463f-978b-4cf6682b5447,9539e221-70ab-4f58-9d7b-356fb07b886b,Bachelor of Science in Architecture,STEM,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
28c0b6e5-5dba-463f-978b-4cf6682b5447,07eea7ef-69c5-43a0-9c8a-e27fe2144a82,Bachelor of Science in Business Administration,Business & Accountancy,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
28c0b6e5-5dba-463f-978b-4cf6682b5447,391f9728-f795-494d-8b57-5725a1bdead5,Business Economics,Arts & Humanities,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,False,False
28c0b6e5-5dba-463f-978b-4cf6682b5447,ed5ef64e-a40f-492f-94a2-b9721b429270,Bachelor of Science in Hospitality Management,Arts & Humanities,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
28c0b6e5-5dba-463f-978b-4cf6682b5447,39f5ba5e-7f5b-412d-9654-2eba956834ca,Bachelor of Science in Industrial Engineering,STEM,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,False,True
28c0b6e5-5dba-463f-978b-4cf6682b5447,56997fed-9f0c-431d-985a-d4c84ce21ea4,Bachelor of Science in Interior Design,Arts & Humanities,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,False,True
28c0b6e5-5dba-463f-978b-4cf6682b5447,8d8a91b7-d901-4437-b2f6-7752e2ed19a5,Bachelor of Science in Management Accounting,Business & Accountancy,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
28c0b6e5-5dba-463f-978b-4cf6682b5447,6cc466e2-3c20-422d-96b9-7c465804b232,Bachelor of Science in Tourism Management,Arts & Humanities,MESC001,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
4946a01d-0cae-4998-be42-dda26fc28802,fcb215d4-cc07-49c8-a87b-ee2e7031c27d,Bachelor of Science in Computer Science,STEM,SMSE002,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
4946a01d-0cae-4998-be42-dda26fc28802,e8661c43-8edf-45f8-a528-c5eae4a1e4c9,Bachelor of Science in Computer Engineering,STEM,SMSE002,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
4946a01d-0cae-4998-be42-dda26fc28802,bdc5d23f-e97b-49c1-9278-68d61061866e,Bachelor of Science in Mechanical Engineering,STEM,SMSE002,2026-05-12 15:43:09.929355+00:00,2026-05-12 15:43:09.929355+00:00,True,False
