question_id,option_value,stem_score,health_score,arts_score,business_score,education_score,agriculture_score
Q1,OPT_STEM,2,0,0,0,0,0
Q1,OPT_HEALTH,0,2,0,0,0,0
Q1,OPT_ARTS,0,0,2,0,0,0
Q1,OPT_BUSINESS,0,0,0,2,0,0
Q1,OPT_EDUCATION,0,0,0,0,2,0
Q1,OPT_AGRICULTURE,0,0,0,0,0,2
Q1,OPT_NONE,0,0,0,0,0,0
Q2,OPT_STEM,2,0,0,0,0,0
Q2,OPT_HEALTH,0,2,0,0,0,0
Q2,OPT_ARTS,0,0,2,0,0,0
Q2,OPT_BUSINESS,0,0,0,2,0,0
Q2,OPT_EDUCATION,0,0,0,0,1,0
Q2,OPT_AGRICULTURE,0,0,0,0,0,2
Q2,OPT_NONE,0,0,0,0,0,0
Q3,OPT_STEM,2,0,0,0,0,0
Q3,OPT_HEALTH,0,2,0,0,0,0
Q3,OPT_ARTS,0,0,1,0,0,0
Q3,OPT_BUSINESS,0,0,0,1,0,0
Q3,OPT_EDUCATION,0,0,0,0,1,0
Q3,OPT_AGRICULTURE,0,0,0,0,0,1
Q3,OPT_NONE,0,0,0,0,0,0
Q4,OPT_STEM,2,0,0,0,0,0
Q4,OPT_HEALTH,0,1,0,0,0,0
Q4,OPT_ARTS,0,0,1,0,0,0
Q4,OPT_BUSINESS,0,0,0,1,0,0
Q4,OPT_EDUCATION,0,0,0,0,1,0
Q4,OPT_AGRICULTURE,0,0,0,0,0,1
Q4,OPT_NONE,0,0,0,0,0,0
Q5,OPT_STEM,1,0,0,0,0,0
Q5,OPT_HEALTH,0,1,0,0,0,0
Q5,OPT_ARTS,0,0,1,0,0,0
Q5,OPT_BUSINESS,0,0,0,1,0,0
Q5,OPT_EDUCATION,0,0,0,0,1,0
Q5,OPT_AGRICULTURE,0,0,0,0,0,1
Q5,OPT_NONE,0,0,0,0,0,0
Q6,OPT_STEM,1,0,0,0,0,0
Q6,OPT_HEALTH,0,1,0,0,0,0
Q6,OPT_ARTS,0,0,1,0,0,0
Q6,OPT_BUSINESS,0,0,0,1,0,0
Q6,OPT_EDUCATION,0,0,0,0,1,0
Q6,OPT_AGRICULTURE,0,0,0,0,0,1
Q6,OPT_NONE,0,0,0,0,0,0
Q8,OPT_STEM,3,0,0,0,0,0
Q8,OPT_HEALTH,0,2,0,0,0,0
Q8,OPT_ARTS,0,0,3,0,0,0
Q8,OPT_BUSINESS,0,0,0,2,0,0
Q8,OPT_EDUCATION,0,0,0,0,2,0
Q8,OPT_AGRICULTURE,0,0,0,0,0,2
Q8,OPT_NONE,0,0,0,0,0,0
Q9,OPT_STEM,2,0,0,0,0,0
Q9,OPT_HEALTH,0,2,0,0,0,0
Q9,OPT_ARTS,0,0,2,0,0,0
Q9,OPT_BUSINESS,0,0,0,1,0,0
Q9,OPT_EDUCATION,0,0,0,0,1,0
Q9,OPT_AGRICULTURE,0,0,0,0,0,2
Q9,OPT_NONE,0,0,0,0,0,0
