edu_stage,adults,share_pct
No grade / Pre-school,8950,0.5510415300607008
Elementary,298317,18.3670453768847
Junior high / Old HS,804011,49.50206163414906
Senior high,0,0.0
Post-secondary non-tertiary,20060,1.2350718539684533
Short-cycle tertiary,37784,2.326318790146762
College undergraduate,151168,9.307245364940337
Bachelor's graduate,288845,17.783864888310962
Master's undergraduate,609,0.037495451598543776
Master's graduate,4998,0.3077212924294282
Doctorate undergraduate,218,0.013422017156785784
Doctorate graduate,2910,0.17916545837727813
Not reported,6325,0.38942320420490867
Other,2,0.00012313777208060352
