occ_major,weighted_persons,share_pct,share_pct_gainful
Non-gainful / special,90847.70966193,31.039791809305843,
2 Professionals,62541.73759129,21.368535557472384,31.61086408901932
5 Service / sales,35317.89996652,12.067010452791434,17.850948482549445
1 Managers,23365.93558395,7.983401878312703,11.8099918950747
4 Clerical support,19143.63663346,6.540775742028489,9.675888759991093
9 Elementary occupations,15930.09340187,5.442809560492963,8.051647377351184
3 Technicians/associate professionals,15374.02673459,5.252819150732543,7.770591101641472
8 Plant / machine operators,11047.41164759,3.774551486756866,5.583762805081562
6 Skilled agriculture / forestry / fishery,7668.49050607,2.6200808989662145,3.875933424482807
7 Craft / related trades,6688.41569701,2.285220304857966,3.3805680448266164
Not reported,3984.85979369,1.3615006789460469,
0 Armed forces,771.22285114,0.2635024793365419,0.3898040199818131
